id,rate
11697, 1
11695, 1
10048, 1
10162, 1
10000, 1
11242, 1
11005, 2
10044, 3
00000, 4
10282, 5
10281, 5
11430, 5
10020, 6
10112, 7
10280, 11
11001, 15
11239, 15
11040, 16
11363, 20
10006, 24
10005, 31
11360, 33
11362, 44
10004, 48
11249, 54
11004, 56
11366, 58
10471, 59
11364, 60
11415, 63
11427, 70
10037, 75
10470, 76
11692, 78
11428, 79
10069, 81
11104, 81
11370, 91
10474, 92
10475, 93
11693, 95
11694, 98
10007, 104
11361, 105
10039, 106
11426, 107
11411, 107
11365, 108
11232, 110
11356, 110
11102, 119
11416, 120
10010, 126
11374, 128
11358, 128
10307, 129
11228, 137
10017, 140
11357, 140
10075, 140
11367, 141
11106, 144
10018, 146
11354, 149
10309, 151
11423, 152
10065, 153
10454, 158
11369, 160
11429, 160
11421, 173
11422, 173
11224, 175
11379, 180
11414, 181
10040, 182
10038, 183
10308, 187
11378, 190
10310, 191
10030, 195
11417, 197
11372, 200
11355, 200
11103, 203
10455, 204
11418, 204
11204, 206
10001, 213
11105, 214
10302, 220
11101, 221
11436, 223
11210, 230
10035, 234
11375, 235
10473, 237
10021, 241
11419, 241
11231, 243
11219, 250
11222, 251
10451, 255
10033, 257
10303, 257
11373, 259
10304, 264
11420, 267
10022, 268
10034, 270
10012, 272
10026, 283
10028, 284
11435, 284
10461, 284
10032, 286
11223, 287
11432, 291
11691, 294
11218, 295
10463, 297
10029, 301
11413, 304
11220, 305
11230, 306
10453, 307
11368, 308
11209, 310
10036, 310
10301, 316
11225, 330
10472, 330
10468, 330
11229, 333
10312, 334
10452, 335
10465, 338
10016, 350
11214, 350
11377, 352
10013, 353
10460, 356
10014, 360
10305, 362
11206, 364
10459, 367
10128, 369
10011, 371
10466, 374
11212, 378
11237, 381
11205, 385
10019, 390
10457, 392
10031, 399
11201, 400
11412, 409
10462, 412
11234, 418
10024, 422
10306, 427
11226, 438
10023, 440
11203, 447
10003, 447
11235, 457
11215, 459
10469, 460
11211, 461
10027, 468
11217, 475
10314, 479
11236, 480
11433, 483
10009, 503
11213, 513
10464, 515
10458, 529
10002, 538
10456, 557
11434, 559
10025, 564
11385, 565
11238, 565
11208, 582
10467, 592
11216, 671
11233, 753
11207, 757
11221, 950